Date,Open,High,Low,Close,Volume,Adj Close
7/9/1986 12:00:00 AM,43.50,44.25,43.50,43.75,1478000,4.623485
7/10/1986 12:00:00 AM,44.00,44.50,43.875,44.25,589200,4.676324
7/11/1986 12:00:00 AM,44.25,44.25,43.75,44.00,320400,4.649904
7/14/1986 12:00:00 AM,43.75,44.00,43.00,43.00,434000,4.544225
7/15/1986 12:00:00 AM,43.25,43.50,41.25,41.25,741600,4.359285
7/16/1986 12:00:00 AM,41.25,42.25,41.25,42.00,606400,4.438545
7/17/1986 12:00:00 AM,42.50,43.25,42.25,43.00,584000,4.544225
7/18/1986 12:00:00 AM,43.00,43.50,42.75,42.75,246800,4.517805
7/21/1986 12:00:00 AM,43.25,43.25,42.75,42.75,168000,4.517805
7/22/1986 12:00:00 AM,42.75,43.50,42.75,43.25,286400,4.570645
7/23/1986 12:00:00 AM,43.25,43.50,43.00,43.00,480000,4.544225
7/24/1986 12:00:00 AM,43.25,43.75,43.00,43.00,516800,4.544225
7/25/1986 12:00:00 AM,42.75,43.25,42.75,43.00,288800,4.544225
7/28/1986 12:00:00 AM,43.00,43.00,42.00,42.00,512400,4.438545
7/29/1986 12:00:00 AM,42.00,42.00,41.25,41.25,363600,4.359285
7/30/1986 12:00:00 AM,41.25,41.75,40.50,41.25,1024800,4.359285
7/31/1986 12:00:00 AM,41.25,41.25,38.50,40.25,3426000,4.253606
8/1/1986 12:00:00 AM,40.00,41.00,40.00,40.50,1432400,4.280026
8/4/1986 12:00:00 AM,40.50,41.25,39.25,39.50,812400,4.174346
8/5/1986 12:00:00 AM,39.50,40.25,39.50,39.75,990000,4.200766
8/6/1986 12:00:00 AM,40.00,40.00,38.50,39.50,1485600,4.174346
8/7/1986 12:00:00 AM,39.00,39.50,39.00,39.25,1701200,4.147926
8/8/1986 12:00:00 AM,39.25,40.00,37.75,38.25,2858400,4.042246
8/11/1986 12:00:00 AM,38.50,39.50,38.25,38.625,1228800,4.081876
8/12/1986 12:00:00 AM,39.00,39.00,37.50,38.25,2822800,4.042246
8/13/1986 12:00:00 AM,38.25,39.75,38.00,39.50,4560000,4.174346
8/14/1986 12:00:00 AM,39.00,39.75,39.00,39.50,2767600,4.174346
8/15/1986 12:00:00 AM,39.50,40.50,39.375,40.50,1017200,4.280026
8/18/1986 12:00:00 AM,40.50,40.75,39.75,40.00,765200,4.227186
8/19/1986 12:00:00 AM,40.00,40.00,38.75,39.50,1069600,4.174346
8/20/1986 12:00:00 AM,39.50,39.75,39.25,39.50,625600,4.174346
8/21/1986 12:00:00 AM,39.75,39.875,39.00,39.25,1936800,4.147926
8/22/1986 12:00:00 AM,39.50,39.75,39.25,39.75,583600,4.200766
8/25/1986 12:00:00 AM,39.75,39.75,38.75,38.75,627200,4.095086
8/26/1986 12:00:00 AM,39.25,40.25,39.00,40.25,1796800,4.253606
8/27/1986 12:00:00 AM,40.50,41.75,40.00,41.50,1865200,4.385705
8/28/1986 12:00:00 AM,41.75,43.00,41.50,42.75,1195200,4.517805
8/29/1986 12:00:00 AM,42.75,43.00,42.25,43.00,1402400,4.544225
9/2/1986 12:00:00 AM,43.00,43.50,42.75,42.75,1400000,4.517805
9/3/1986 12:00:00 AM,42.50,42.625,41.75,42.00,1788800,4.438545
9/4/1986 12:00:00 AM,42.25,42.50,42.00,42.50,1042800,4.491385
9/5/1986 12:00:00 AM,42.25,42.50,41.125,41.25,2570800,4.359285
9/8/1986 12:00:00 AM,41.00,41.00,39.25,39.25,1161600,4.147926
9/9/1986 12:00:00 AM,39.75,40.50,39.50,40.00,2043200,4.227186
9/10/1986 12:00:00 AM,40.00,40.25,39.75,40.25,826400,4.253606
9/11/1986 12:00:00 AM,40.125,40.25,38.50,38.50,1991200,4.068666
9/12/1986 12:00:00 AM,38.50,38.75,36.25,36.25,1473200,3.830887
9/15/1986 12:00:00 AM,36.50,36.75,36.25,36.50,661200,3.857307
9/16/1986 12:00:00 AM,37.00,37.25,36.50,37.25,220000,3.936567
9/17/1986 12:00:00 AM,37.50,38.25,37.25,37.75,786800,3.989407
9/18/1986 12:00:00 AM,38.25,38.25,37.75,38.25,816000,4.042246
9/19/1986 12:00:00 AM,38.00,39.75,38.00,39.50,868000,4.174346
9/22/1986 12:00:00 AM,39.75,39.75,38.75,39.00,1065200,4.121506
9/23/1986 12:00:00 AM,39.00,39.50,39.00,39.125,1162000,4.134716
9/24/1986 12:00:00 AM,39.00,39.25,38.875,39.00,717200,4.121506
9/25/1986 12:00:00 AM,39.00,39.00,38.00,38.25,646000,4.042246
9/26/1986 12:00:00 AM,38.00,38.25,37.25,37.75,636800,3.989407
9/29/1986 12:00:00 AM,37.25,37.25,35.75,36.75,965600,3.883727
9/30/1986 12:00:00 AM,36.50,37.75,36.50,37.50,790000,3.962987
10/1/1986 12:00:00 AM,37.75,39.00,37.50,39.00,509600,4.121506
10/2/1986 12:00:00 AM,38.50,39.25,38.50,38.50,1281600,4.068666
10/3/1986 12:00:00 AM,38.75,39.00,38.25,38.50,620000,4.068666
10/6/1986 12:00:00 AM,38.50,39.00,38.25,38.625,166000,4.081876
10/7/1986 12:00:00 AM,38.75,39.25,38.75,39.00,160800,4.121506
10/8/1986 12:00:00 AM,39.00,40.25,38.75,39.50,314400,4.174346
10/9/1986 12:00:00 AM,39.75,40.00,39.50,39.875,967200,4.213976
10/10/1986 12:00:00 AM,39.875,40.00,39.50,39.50,1108000,4.174346
10/13/1986 12:00:00 AM,39.50,39.75,39.50,39.75,516000,4.200766
10/14/1986 12:00:00 AM,39.75,39.75,39.50,39.75,309600,4.200766
10/15/1986 12:00:00 AM,39.50,40.25,39.50,40.25,339200,4.253606
10/16/1986 12:00:00 AM,40.75,41.00,40.25,40.50,438800,4.280026
10/17/1986 12:00:00 AM,40.25,40.25,39.25,39.75,2217200,4.200766
10/20/1986 12:00:00 AM,39.50,39.75,39.00,39.25,233600,4.147926
10/21/1986 12:00:00 AM,39.25,39.25,38.75,38.75,516400,4.095086
10/22/1986 12:00:00 AM,38.75,39.50,38.25,39.50,476000,4.174346
10/23/1986 12:00:00 AM,38.75,39.25,38.50,39.25,483200,4.147926
10/24/1986 12:00:00 AM,38.75,39.75,38.75,39.50,345200,4.174346
10/27/1986 12:00:00 AM,39.25,39.25,38.50,39.00,789600,4.121506
10/28/1986 12:00:00 AM,38.75,39.00,38.50,38.75,531200,4.095086
10/29/1986 12:00:00 AM,38.75,39.00,38.50,39.00,544000,4.121506
10/30/1986 12:00:00 AM,39.00,40.75,38.75,40.25,1017600,4.253606
10/31/1986 12:00:00 AM,40.00,40.25,39.00,39.25,2062800,4.147926
11/3/1986 12:00:00 AM,39.00,39.25,38.50,38.50,2111600,4.068666
11/4/1986 12:00:00 AM,38.75,38.75,38.00,38.25,1223200,4.042246
11/5/1986 12:00:00 AM,38.00,38.50,37.75,38.25,854000,4.042246
11/6/1986 12:00:00 AM,38.25,39.00,38.25,39.00,1211600,4.121506
11/7/1986 12:00:00 AM,38.75,39.00,38.50,39.00,460800,4.121506
11/10/1986 12:00:00 AM,38.50,39.50,38.50,38.75,450800,4.095086
11/11/1986 12:00:00 AM,38.75,39.00,38.75,39.00,213200,4.121506
11/12/1986 12:00:00 AM,38.75,39.25,38.25,38.375,434000,4.055456
11/13/1986 12:00:00 AM,38.50,38.50,37.50,37.75,2206800,3.989407
11/14/1986 12:00:00 AM,37.50,38.00,37.25,37.25,920400,3.936567
11/17/1986 12:00:00 AM,37.00,37.25,36.50,37.25,834400,3.936567
11/18/1986 12:00:00 AM,37.25,37.50,36.75,36.75,1300400,3.883727
11/19/1986 12:00:00 AM,36.75,37.50,36.75,37.00,1251600,3.910147
11/20/1986 12:00:00 AM,37.75,38.00,37.25,38.00,636000,4.015827
11/21/1986 12:00:00 AM,37.75,38.25,37.50,38.00,674800,4.015827
11/24/1986 12:00:00 AM,37.50,38.00,37.25,38.00,566800,4.015827
11/25/1986 12:00:00 AM,38.00,38.25,37.75,38.00,945200,4.015827
11/26/1986 12:00:00 AM,38.25,39.50,38.25,39.25,450800,4.147926
11/28/1986 12:00:00 AM,39.50,39.50,39.00,39.00,191200,4.121506
12/1/1986 12:00:00 AM,39.25,39.25,38.50,39.25,868800,4.147926
12/2/1986 12:00:00 AM,39.25,40.75,39.25,40.75,788000,4.306446
12/3/1986 12:00:00 AM,40.75,42.75,40.75,42.375,721600,4.478175
12/4/1986 12:00:00 AM,42.25,43.00,42.00,42.50,867600,4.491385
12/5/1986 12:00:00 AM,42.50,43.00,41.75,41.875,1048400,4.425335
12/8/1986 12:00:00 AM,41.625,42.25,41.25,41.75,466400,4.412125
12/9/1986 12:00:00 AM,41.75,42.50,41.75,42.25,543600,4.464965
12/10/1986 12:00:00 AM,42.25,42.25,41.75,42.00,636000,4.438545
12/11/1986 12:00:00 AM,41.75,42.00,40.25,41.25,545600,4.359285
12/12/1986 12:00:00 AM,41.25,41.25,40.75,40.875,475200,4.319656
12/15/1986 12:00:00 AM,40.75,41.00,40.50,40.75,216000,4.306446
12/16/1986 12:00:00 AM,40.75,41.00,40.50,41.00,268400,4.332865
12/17/1986 12:00:00 AM,41.25,41.50,41.00,41.25,153200,4.359285
12/18/1986 12:00:00 AM,41.25,41.625,41.00,41.25,439600,4.359285
12/19/1986 12:00:00 AM,41.50,41.75,40.50,41.50,1172800,4.385705
12/22/1986 12:00:00 AM,41.75,41.75,41.00,41.25,453200,4.359285
12/23/1986 12:00:00 AM,41.25,41.25,40.50,40.75,680800,4.306446
12/24/1986 12:00:00 AM,40.50,40.75,40.125,40.50,684400,4.280026
12/26/1986 12:00:00 AM,40.75,40.75,40.25,40.75,69200,4.306446
12/29/1986 12:00:00 AM,40.75,40.75,40.00,40.25,533600,4.253606
12/30/1986 12:00:00 AM,40.00,40.50,39.50,39.875,262800,4.213976
12/31/1986 12:00:00 AM,40.25,41.00,40.00,40.25,698400,4.253606
1/2/1987 12:00:00 AM,40.25,40.75,40.25,40.75,450800,4.306446
1/5/1987 12:00:00 AM,41.00,42.25,41.00,42.00,1230000,4.438545
1/6/1987 12:00:00 AM,42.25,42.25,41.75,42.25,755200,4.464965
1/7/1987 12:00:00 AM,42.25,42.75,42.00,42.75,640000,4.517805
1/8/1987 12:00:00 AM,42.75,44.25,42.50,43.75,948800,4.623485
1/9/1987 12:00:00 AM,43.50,43.75,43.25,43.75,412000,4.623485
1/12/1987 12:00:00 AM,43.75,44.25,43.50,44.25,421600,4.676324
1/13/1987 12:00:00 AM,44.25,44.25,44.00,44.25,297200,4.676324
1/14/1987 12:00:00 AM,44.50,45.00,44.25,44.25,556400,4.676324
1/15/1987 12:00:00 AM,44.75,45.00,44.00,44.50,569600,4.702744
1/16/1987 12:00:00 AM,44.50,44.50,44.00,44.50,558800,4.702744
1/19/1987 12:00:00 AM,44.00,44.50,44.00,44.50,428400,4.702744
1/20/1987 12:00:00 AM,44.25,44.50,43.25,43.50,588800,4.597065
1/21/1987 12:00:00 AM,43.75,43.75,42.50,42.875,745600,4.531015
1/22/1987 12:00:00 AM,42.75,43.25,42.125,43.00,1131200,4.544225
1/23/1987 12:00:00 AM,43.25,45.00,43.00,44.00,1085200,4.649904
1/26/1987 12:00:00 AM,43.75,44.00,43.25,43.25,439200,4.570645
1/27/1987 12:00:00 AM,43.25,44.25,43.25,44.25,1154400,4.676324
1/28/1987 12:00:00 AM,44.50,44.75,43.75,43.75,851600,4.623485
1/29/1987 12:00:00 AM,43.75,44.75,43.75,44.25,1627200,4.676324
1/30/1987 12:00:00 AM,44.75,45.75,44.50,45.75,1752800,4.834844
2/2/1987 12:00:00 AM,45.50,46.50,45.50,46.25,2467600,4.887684
2/3/1987 12:00:00 AM,46.25,46.25,45.00,45.00,940400,4.755584
2/4/1987 12:00:00 AM,45.50,45.75,45.25,45.75,1445200,4.834844
2/5/1987 12:00:00 AM,45.25,47.50,45.25,47.375,2094400,5.006573
2/6/1987 12:00:00 AM,47.25,48.00,47.25,47.625,1468400,5.032993
2/9/1987 12:00:00 AM,47.50,47.50,46.75,47.50,678400,5.019783
2/10/1987 12:00:00 AM,47.50,47.50,46.75,47.25,970800,4.993363
2/11/1987 12:00:00 AM,47.25,49.50,47.00,49.50,2182800,5.231142
2/12/1987 12:00:00 AM,49.50,49.50,47.75,48.25,519600,5.099043
2/13/1987 12:00:00 AM,48.25,48.75,48.00,48.75,1517600,5.151883
2/17/1987 12:00:00 AM,48.25,51.50,48.25,51.50,1435200,5.442502
2/18/1987 12:00:00 AM,51.50,52.50,51.25,52.00,1281600,5.495342
2/19/1987 12:00:00 AM,52.25,55.00,52.00,54.75,2645200,5.785961
2/20/1987 12:00:00 AM,54.50,54.75,54.00,54.25,994000,5.733121
2/23/1987 12:00:00 AM,54.25,54.375,53.25,53.625,2378000,5.667071
2/24/1987 12:00:00 AM,53.50,53.75,52.625,53.25,1096400,5.627441
